number,title,id,check_link,date,folder,onb,classification,number_moder,notes
152,Concerto per la Camera,Q.2,true,NA,–,AC14308639,notebook (unnumbered),,
153,Concerto a 4,Q.3,true,NA,–,AC14308640,notebook (unnumbered),,
154,Grabinschrift,–,false,2024-11-29,154–155,AC14352363,notes,,
155,Introductione zu Mater dolorum,A.4,true,2026-02-12,154–155,AC14308477,notebook (unnumbered),,
156,Hirtenkantate zur Christnacht,E.40,false,2025-06-20,156–162,AC14330166,print,,@Schmid1934a
157,Weihnachtslied,E.33,false,2025-06-20,156–162,AC14330167,print,,@Falvy1969
158,Sub tuum praesidium,I.5.27,true,2025-06-20,156–162,AC14308602,notebook (unnumbered),,
159,Ave Regina coelorum,I.2.16,true,2025-06-20,156–162,AC14308503,notebook (unnumbered),,
160,Ave Regina coelorum,I.2.4,true,2025-06-20,156–162,AC14308504,notebook (unnumbered),,
161,Hymnus de Sta. Cruce,F.4,true,2025-06-20,156–162,AC14308527,notebook (unnumbered),,
162,Salve Regina,I.4.16,false,2025-06-20,156–162,AC14330170,print,,@Koch1969b
163,Ave Maria klare,E.1,true,NA,–,AC14308497,notebook (unnumbered),,
164,In dulci jubilo,F.29,false,NA,–,AC14330168,print,,@Schmid1948b
165,Puer natus in Bethlehem,F.30,false,NA,–,AC14330169,print,,@Schmid1948a
166,Wienerischer Tandlmarkt,L.1,false,NA,–,AC14330171,print,,@Moder1961
167,Die Bauren-Richters-Wahl,L.2,true,NA,–,AC14308632,notebook (unnumbered),,
168,Die Bauren-Richters-Wahl,L.2,true,NA,–,AC14308631,notebook (unnumbered),,
169,Die Bauren-Richters-Wahl,L.2,true,NA,–,AC14308630,notebook (unnumbered),,
170/1,Der Wiennerische Tandlmarckt,L.1/2,false,NA,–,AC14308634,notebook (unnumbered),,
171,Die Bauren-Richters-Wahl,L.2,true,NA,–,AC14352364,notebook (unnumbered),,
172,Chorus [aus: Die Bauren-Richters-Wahl],L.2,true,NA,–,AC14308633,notebook (unnumbered),,
173,Missa festivalis brevis in G,B.22,true,NA,–,AC14308470,performance materials,,
174,Missa festiva in honorem matris meae virginis Mariae,B.33,true,NA,–,AC14308468,performance materials,,
175,Vesperae de Beate,H.1.6,true,2026-03-06,175,AC14308625,notebook (unnumbered),,
176,Te Deum,J.5,true,2026-04-27,176,AC14308623,performance materials,,
177,Missa festivalis e brevis,B.22,false,NA,–,AC14330165,print,,@Revesz1971
178,Sonatina in G-Dur,M.7,false,NA,–,AC14330187,print,,@Tardy1970
179,Sonatina in g-moll,M.4,false,NA,–,AC14330189,print,,@Gombas1970b
180,Sonatina in B-Dur,M.2,false,NA,–,AC14330188,print,,@Gombas1970c
181,Sonatina in D-Dur,M.5,false,NA,–,AC14330184,print,,@Kovacs1970a
182,Sonatina in F-Dur,M.6,false,NA,–,AC14330185,print,,@Kovacs1970b
183,Sonatina in F-Dur,M.3,false,NA,–,AC14330186,print,,@Mezoe1970b
184,Sonatina in g-moll,M.1,false,NA,–,AC14330190,print,,@Mezoe1970a
185,Symphonia da chiesa,P.1,false,NA,–,AC14330181,print,,@Sulyok1969a
188,Instrumental-Calender,O.1–12,false,NA,–,AC14330174,copy of print,,
189,Instrumentalkalender (Der Mai - Il Maggio),O.5,false,NA,–,AC14330177,print,,@Halusa1950
190,Instrumental-Calender,O.10,false,NA,–,AC14330175,print,,@Fischer1938
191,Instrumental-Calender,O.1–12,false,2025-12-03,191,AC14308645,notebook (unnumbered),,
192,Instrumental-Calender,O.1–12,false,NA,–,AC14330176,print,,@Stein1956
